2012-01-12,Position: 13,Shift: 0.3204836427595646,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
2015-09-25,Position: 203,Shift: 0.09710745047198228,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Storm Spirit,0.0810407961714154,0.007869665100425732,0.01680383299487298,0.024673498095298712,
Bloodseeker,0.07087990564064044,0.006882966926457269,0.01977854911766871,0.02666151604412598,
Leshrac,0.06080479974490657,0.005904599079687316,0.006447420794367583,0.012352019874054898,
Lina,0.04944785156368083,0.004801754796666068,0.01970754084580996,0.024509295642476028,
Invoker,0.03631220447516399,0.0035261855976004806,0.017328344947947587,0.013802159350347107,
Bounty Hunter,0.03534832287873226,0.003432585513214131,0.014976230841842615,0.018408816355056746,
Phantom Assassin,0.03409130074084544,0.0033105192982171017,0.024444713918095915,0.021134194619878813,
Ogre Magi,0.03172466795998483,0.0030807016226643107,0.010642864966929035,0.007562163344264725,
Lifestealer,0.029333809520023228,0.002848531455120218,0.010617365272971895,0.007768833817851677,
Spectre,0.027095860187032663,0.002631209901108031,0.01050596697491826,0.007874757073810228,
2015-12-16,Position: 23,Shift: 0.255933331217879,
Hero,Portion of day's shift,Manhattan distance,Pick for day,Average pick for 14 prev day,
Arc Warden,0.17289060699232792,0.0442484689838276,0.04458126259871864,0.0003327936148910401,
Zeus,0.06069578461601298,0.015534074347659093,0.02745013613399724,0.011916061786338148,
Pudge,0.05078690570355642,0.012998061958959493,0.03864609265659634,0.025648030697636846,
Riki,0.04504039384095876,0.011527338035081814,0.02934417435647577,0.017816836321393956,
Windranger,0.025243777355673538,0.006460724031159989,0.024213692357740645,0.030674416388900633,
Sniper,0.02139912904303384,0.005476750381144913,0.022508600748451228,0.017031850367306315,
Drow Ranger,0.021071731186160687,0.005392958357001773,0.016594700966887827,0.011201742609886054,
Tusk,0.018215230022369033,0.004661884498524827,0.011751863102066058,0.016413747600590885,
Ember Spirit,0.018024438144451014,0.004613054497639954,0.012906614155212338,0.01751966865285229,
Bristleback,0.01772662391493261,0.004536833909795222,0.015687140985283534,0.011150307075488312,
